url	download_complete
cml.ics.uci.edu/courses	complete
ngs.ics.uci.edu	complete
isg.ics.uci.edu/event/large-scale-and-low-latency-data-distribution-from-database-to-servers	complete
ngs.ics.uci.edu/professionalsocial	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall-project1-create-project	complete
ngs.ics.uci.edu/photo-album-2015-breaking-the-boundaries	complete
ngs.ics.uci.edu/objective-self-3-quantified-self-is-a-step-towards-objective-self	complete
ngs.ics.uci.edu/lifelesson-2-should-should-come-before-could	complete
mswe.ics.uci.edu/admissions/cost-and-financial-aid	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring	complete
chenli.ics.uci.edu/feed	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=jsac05.pdf	complete
www.ics.uci.edu/~skong2/DimensionalEmotionModel.html	complete
ngs.ics.uci.edu/tag/chronicle	complete
www.ics.uci.edu/~perl/publication/dyn_diversity	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2012-spring	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-winter-project4	incomplete
vision.ics.uci.edu/pocv2012/index.html	complete
ngs.ics.uci.edu/back-after-a-long-break	complete
www.ics.uci.edu/community/news/press/view_press?id=107	complete
chenli.ics.uci.edu/miscellaneous	complete
www.ics.uci.edu/community/news/spotlight	complete
www.ics.uci.edu/community/news/press/view_press?id=100	complete
ngs.ics.uci.edu/blog?attachment_id=1479	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2019-winter-project1-import-project	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
ngs.ics.uci.edu/corelation-is-the-mother-of-causality	complete
cml.ics.uci.edu/2014/03/spring-2014	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=aistats10.pdf	complete
cloudberry.ics.uci.edu/hello-world	complete
www.ics.uci.edu/computing/linux/hosts.php	complete
asterix.ics.uci.edu//supporters.html	complete
ngs.ics.uci.edu/towards-weaving-the-visual-web	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=kdd06.pdf	incomplete
alumni.ics.uci.edu/2008/04/07/king-of-risc	complete
isg.ics.uci.edu/news-category/recent-news	incomplete
ngs.ics.uci.edu/extreme-stories13	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-winter-project1	complete
www.ics.uci.edu/~chenli/sigmod07ugrad	complete
ngs.ics.uci.edu/blog/page/12	incomplete
ngs.ics.uci.edu/quantifying-semantic-gap	incomplete
cml.ics.uci.edu/books	incomplete
ngs.ics.uci.edu/social-systems-and-big-data	incomplete
ngs.ics.uci.edu/tag/community-wellbeing	incomplete
asterix.ics.uci.edu	complete
mhcid.ics.uci.edu/people/mhcid-faculty-and-staff	incomplete
ngs.ics.uci.edu/dave-lehman	complete
sli.ics.uci.edu/Projects/DataMining	incomplete
ngs.ics.uci.edu/creating-persona-using-data-streams	incomplete
ngs.ics.uci.edu/tag/google-circles	complete
www.ics.uci.edu/~raccoon	incomplete
isg.ics.uci.edu/news/qing-hans-paper-won-the-best-paper-award-at-ieee-srds-2018	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2018-fall-git	incomplete
futurehealth.ics.uci.edu/health	incomplete
ngs.ics.uci.edu/vnit-golden-jubilee	complete
www.ics.uci.edu/~chenli/pods05	incomplete
chime.ics.uci.edu	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips04.pdf	incomplete
chenli.ics.uci.edu/teaching	complete
grape.ics.uci.edu/wiki/public/wiki/cs222-2012-fall	complete
sli.ics.uci.edu/Projects/Sensor?action=login	complete
ngs.ics.uci.edu/spreading-joy	complete
cml.ics.uci.edu/2015/09/fall-2015	incomplete
isg.ics.uci.edu/research_staff	incomplete
isg.ics.uci.edu/event/vinayak-borkar-fireeye-inc-the-x15-machine-data-management-platform?ical=1	complete
cml.ics.uci.edu/2016/01/winter-2016	incomplete
www.ics.uci.edu/community/news/notes/index.php	complete
www.ics.uci.edu/~dgillen	complete
cml.ics.uci.edu/2014/09/2014_google	incomplete
sli.ics.uci.edu/Projects/BP?action=login	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=uai07.pdf	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=ihler_area.pdf	incomplete
ngs.ics.uci.edu/category/technical-thoughts	incomplete
futurehealth.ics.uci.edu/resources/knowledge-repository	complete
ngs.ics.uci.edu/tag/learning	incomplete
www.ics.uci.edu/~johutchi	complete
www.ics.uci.edu/~lopes/teaching/inf212W12/index.html	incomplete
futurehealth.ics.uci.edu	complete
ngs.ics.uci.edu/tag/could-bold-thinking	complete
sli.ics.uci.edu/Projects/Projects?action=login	incomplete
ngs.ics.uci.edu/research/books	incomplete
chenli.ics.uci.edu/wp-login.php	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips03.pdf	incomplete
www.ics.uci.edu/grad/courses/details.php?id=110	complete
cml.ics.uci.edu/category/aiml	incomplete
www.ics.uci.edu/~skong2	complete
cml.ics.uci.edu/2015/05/center-member-and-ics-dean-hal-stern-to-help-lead-national-effort-to-improve-criminal-evidence-analysis-cut-wrongful-convictions	complete
www.ics.uci.edu/community/news/articles	complete
ngs.ics.uci.edu/tag/objective-health	incomplete
www.ics.uci.edu/community	complete
ngs.ics.uci.edu/tag/mobile-photos	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall-mac-setup-guide	complete
ngs.ics.uci.edu/tag/health-persona	complete
mhcid.ics.uci.edu/faq	complete
flamingo.ics.uci.edu/releases/2.0	complete
cml.ics.uci.edu/tag/news/page/2	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2013-winter	incomplete
ngs.ics.uci.edu/micro-blogs-and-blogs	complete
ngs.ics.uci.edu/tag/deep-learning	incomplete
ngs.ics.uci.edu/tag/data-driven-stories	complete
futurehealth.ics.uci.edu/news-events/uci-seminars	incomplete
cloudberry.ics.uci.edu/tag/tech	incomplete
sli.ics.uci.edu/Projects/Nonparametric	incomplete
ngs.ics.uci.edu/tag/causality	complete
ngs.ics.uci.edu/going-back-to-usa	incomplete
ngs.ics.uci.edu/photos-then-and-now-2	complete
mhcid.ics.uci.edu/program/capstone-projects	incomplete
ngs.ics.uci.edu/phone-as-identity	complete
ngs.ics.uci.edu/tag/visualization	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-spring-project5-mysql-master-slave	incomplete
ngs.ics.uci.edu/professionalsocial/interviews	complete
www.ics.uci.edu/~smyth/courses/stats5	complete
www.ics.uci.edu/~lopes/teaching/cs221W13/index.html	complete
mhcid.ics.uci.edu/admissions/admissions-overview	incomplete
www.ics.uci.edu/~jsupanci	incomplete
www.ics.uci.edu/grad/admissions	complete
cloudberry.ics.uci.edu	complete
fr.ics.uci.edu	complete
cml.ics.uci.edu/alumni	complete
www.ics.uci.edu/about/kfflab	complete
www.ics.uci.edu/about/visit	complete
ngs.ics.uci.edu/extreme-stories-12	complete
ngs.ics.uci.edu/tag/albums	complete
ngs.ics.uci.edu/extreme-stories-10	complete
www.ics.uci.edu/~jianfenj	complete
www.ics.uci.edu/~rcammaro	complete
ngs.ics.uci.edu/author/ramesh	complete
ngs.ics.uci.edu/more-timelines	incomplete
www.ics.uci.edu/community/news/press/view_press?id=141	incomplete
mhcid.ics.uci.edu/program/about-the-program	complete
www.ics.uci.edu/about	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-spring	complete
ngs.ics.uci.edu/begaluru-trip	complete
isg.ics.uci.edu/events?ical=1	incomplete
ngs.ics.uci.edu/experiential-analysis	incomplete
ngs.ics.uci.edu/tag/photos	complete
www.ics.uci.edu/~mlearn/MLRepository.html	incomplete
mswe.ics.uci.edu/program/curriculum	complete
sli.ics.uci.edu/Projects/GraphicalModels?action=login	complete
ngs.ics.uci.edu/tag/cyber	complete
futurehealth.ics.uci.edu/news	incomplete
cml.ics.uci.edu/2017/11/phd-students-win-best-poster-awards	complete
www.ics.uci.edu/~liang	incomplete
ngs.ics.uci.edu/five-year-check-up	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall-ubuntu-setup-guide	complete
chenli.ics.uci.edu/research	complete
ngs.ics.uci.edu/tag/data-analytics	incomplete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2019-winter-project1/gitignore	complete
cml.ics.uci.edu/home/about-us	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=camsap07.pdf	incomplete
mondego.ics.uci.edu/ra	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-winter-project5-mysql-master-slave	incomplete
isg.ics.uci.edu/events/list?tribe_event_display=past&tribe_paged=1	complete
cloudberry.ics.uci.edu/prof-li-gave-talks-about-cloudberry-at-huawei-google-teradata-and-arl	complete
isg.ics.uci.edu/talks	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=physd07.pdf	incomplete
www.ics.uci.edu/~pjsadows	complete
cert.ics.uci.edu	complete
fr.ics.uci.edu/widgets/chilepersonfinder	complete
www.ics.uci.edu/~sswamida	complete
ngs.ics.uci.edu/tag/computational-storytelling	complete
cml.ics.uci.edu/2017/10/fall-2017	complete
ngs.ics.uci.edu/international-academic-research-perspectives	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips04.ps	incomplete
cloudberry.ics.uci.edu/taewoo-has-successfully-defended-his-ph-d-thesis	complete
ngs.ics.uci.edu/tag/mobile	complete
grape.ics.uci.edu/wiki/public/wiki/cs222-2015-fall	complete
www.ics.uci.edu/~fowlkes/software.html	complete
www.ics.uci.edu/~skong2/pollen_BIC.html	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2011-winter	complete
ngs.ics.uci.edu/photos-are-more-than-fleeting-experiences	complete
www.ics.uci.edu/~smyth/courses/stats5/onlineslides	complete
isg.ics.uci.edu/event/prof-sang-woo-jun-lowering-the-cost-of-large-scale-data-analytics-via-efficient-use-of-flash-storage	complete
ngs.ics.uci.edu/tag/big-data	complete
flamingo.ics.uci.edu/releases/latest	complete
ngs.ics.uci.edu/extreme-stories2	complete
ipubmed.ics.uci.edu	complete
cloudberry.ics.uci.edu/jianfeng-won-the-google-graduate-student-award-in-ics	complete
ngs.ics.uci.edu/objective-self-4-you-are-the-most-important	complete
ngs.ics.uci.edu/tag/persona	complete
isg.ics.uci.edu/news/couchbase-sponsers-isg	complete
www.ics.uci.edu/~skong2/PAG.html	complete
ngs.ics.uci.edu/visr-silent-helper-to-organize-visual-memories-of-events	complete
ngs.ics.uci.edu/tag/visual-communication	complete
hobbes.ics.uci.edu	complete
ngs.ics.uci.edu/contextual-circles	complete
ngs.ics.uci.edu/extreme-stories-11	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-winter-project5/Session.war	complete
mhcid.ics.uci.edu/program/events	complete
cloudberry.ics.uci.edu/author/dolphin	complete
www.ics.uci.edu/~xhx	complete
ngs.ics.uci.edu/automatic-summarization-of-personal-photo-collections-pinaki-sinhas-thesis	complete
ngs.ics.uci.edu/tag/ecperiential-computing	incomplete
ngs.ics.uci.edu/calendars-to-chronicles-4	complete
ngs.ics.uci.edu/personal/favorite-quotes	complete
isg.ics.uci.edu/faculty2/weifeng-shan	incomplete
keys.ics.uci.edu	complete
ngs.ics.uci.edu/photo-taking-behaviour-teens-of-photography	incomplete
www.ics.uci.edu/~sharad	complete
ngs.ics.uci.edu/tag/contextual-circles	incomplete
www.ics.uci.edu/~marios	complete
cml.ics.uci.edu/2016/08/workshop-on-interacting-with-robots-through-touch	complete
ngs.ics.uci.edu/rehabilitation-from-knee-surgery	complete
cbcl.ics.uci.edu/doku.php/teaching/cs295w11/start	complete
mhcid.ics.uci.edu/people/mentors	complete
ngs.ics.uci.edu/tag/healthcare	complete
futurehealth.ics.uci.edu/people	complete
fr.ics.uci.edu/haiti	complete
cml.ics.uci.edu/2014/01/winter-2014	complete
ngs.ics.uci.edu/tag/data-revolution	complete
ngs.ics.uci.edu/creating-peopleweb	complete
mondego.ics.uci.edu	incomplete
www.ics.uci.edu/~smyth	complete
www.ics.uci.edu/community/news/view_news?id=1435	complete
isg.ics.uci.edu	complete
www.ics.uci.edu/community/news/press	incomplete
mailman.ics.uci.edu/mailman/listinfo/mlrg	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips09.pdf	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips06.pdf	incomplete
asterix.ics.uci.edu//publications.html	complete
grape.ics.uci.edu/wiki/public/wiki/cs122a-2016-spring	incomplete
mswe.ics.uci.edu/admissions/information_sessions	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips07.ps	incomplete
futurehealth.ics.uci.edu/news-events/conferences	complete
www.ics.uci.edu/~lopes/teaching/inf141W12/index.html	incomplete
www.ics.uci.edu/~pattis/common/handouts/mingweclipse/eclipse.html	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=tsp04.pdf	incomplete
mhcid.ics.uci.edu/people/current-students	incomplete
ngs.ics.uci.edu/research/research-papers/computer-vision	complete
ngs.ics.uci.edu/developing-actionable-personal-intelligence-for-everyone	complete
www.ics.uci.edu/community/news/notes/index	incomplete
chenli.ics.uci.edu/entrepreneurship	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=ssp05.ps	incomplete
www.ics.uci.edu/~fowlkes/presentations.html	incomplete
www.ics.uci.edu/~jfoulds	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-winter-project5/TomcatTest.war	incomplete
ngs.ics.uci.edu/category/prospecting-information/page/3	incomplete
www.ics.uci.edu/~lopes/teaching/inf212W15/index.html	incomplete
www.ics.uci.edu/~pattis/common/handouts/macmingweclipse/eclipse.html	incomplete
www.ics.uci.edu/~perl/publication/ocfi	complete
www.ics.uci.edu/~slan	incomplete
ngs.ics.uci.edu/personal/past-affiliations	incomplete
flamingo.ics.uci.edu/releases/2.0.1	incomplete
www.ics.uci.edu/~skong2/recurrentDepthSeg	incomplete
cloudberry.ics.uci.edu/cloudberry-at-acm-sigspatial-2016	incomplete
ngs.ics.uci.edu/tag/index-of-data	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-spring-project1-eclipse-project	incomplete
ngs.ics.uci.edu/tag/bad-news	incomplete
ngs.ics.uci.edu/partners/past-students	incomplete
www.ics.uci.edu/about/facilities/index.php	complete
www.ics.uci.edu/~enalisni	complete
www.ics.uci.edu/~lopes/teaching/cs221W14/index.html	incomplete
ngs.ics.uci.edu/partners	incomplete
sli.ics.uci.edu/Classes/2016W-178	incomplete
ngs.ics.uci.edu/tag/oral-stories	incomplete
mhcid.ics.uci.edu/program/curriculum	incomplete
ngs.ics.uci.edu/geotagging-is-moving-closer-to-center	incomplete
ngs.ics.uci.edu/about-ramesh/events	incomplete
www.ics.uci.edu/grad/courses	incomplete
cml.ics.uci.edu/sponsors-funding	incomplete
mondego.ics.uci.edu/icsergen	complete
ngs.ics.uci.edu/tag/summarization	complete
ngs.ics.uci.edu/tag/calendar	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips03.ps	incomplete
alumni.ics.uci.edu/2009/03/31/prescription-for-success	complete
www.ics.uci.edu/~chenli/pdf-font-types/index.html	complete
cml.ics.uci.edu/aiml	complete
www.ics.uci.edu/ugrad/sao	complete
ngs.ics.uci.edu/tag/photo-management	incomplete
cml.ics.uci.edu/2015/02/alexander-ihler-gives-short-course-on-approximate-inference-at-mlss	incomplete
www.ics.uci.edu/~smyth/courses/stats5/Forms	complete
ngs.ics.uci.edu/tag/personal-model	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=_tkde10.pdf	complete
ngs.ics.uci.edu/tag/data	incomplete
ngs.ics.uci.edu/experiential-computing	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=tr2601.pdf	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=icassp01.pdf	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=ihler_phd.ps.gz	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2019-winter-project1-eclipse-project	complete
isg.ics.uci.edu/contact-us	complete
isg.ics.uci.edu/events	incomplete
sli.ics.uci.edu/Code/Code	incomplete
ngs.ics.uci.edu/photos-then-and-now	incomplete
dblp.ics.uci.edu	incomplete
isg.ics.uci.edu/visitor-info	complete
ngs.ics.uci.edu/back-to-cyber-3-now-and-future	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2018-fall-project1	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2018-fall-project2	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2018-fall-project3	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2018-fall-project4	complete
www.ics.uci.edu/~sgaffney	complete
sli.ics.uci.edu/Pubs	incomplete
vision.ics.uci.edu	complete
cloudberry.ics.uci.edu/2016/07	complete
cloudberry.ics.uci.edu/2016/08	complete
cloudberry.ics.uci.edu/2016/09	complete
ngs.ics.uci.edu/personal/education	complete
ngs.ics.uci.edu/ancient-photo-gallery-in-modern-phones	incomplete
cml.ics.uci.edu/2013/08/2013_alexnsf	incomplete
ngs.ics.uci.edu/tag/storytelling	complete
cml.ics.uci.edu?page=events&subPage=aiml	incomplete
ngs.ics.uci.edu/tag/communication	complete
ngs.ics.uci.edu/tag/flight-recorder	complete
isg.ics.uci.edu/faculty2/hsu-cheng-hsin	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-spring-project1-import-project	incomplete
www.ics.uci.edu/informatics	incomplete
cml.ics.uci.edu/2014/02/2014_acmfellows	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=ihler_ms.ps.gz	incomplete
cml.ics.uci.edu/2016/02/anandkumar-receives-google-research-award	complete
matt-smith-v2.ics.uci.edu/dutran/wordpress/about	complete
sli.ics.uci.edu/Projects/BP	complete
ngs.ics.uci.edu/tag/personal-health	incomplete
ngs.ics.uci.edu/extreme-stories-3	incomplete
ngs.ics.uci.edu/extreme-stories-1	incomplete
ngs.ics.uci.edu/extreme-stories-7	complete
ngs.ics.uci.edu/extreme-stories-6	incomplete
ngs.ics.uci.edu/extreme-stories-5	incomplete
ngs.ics.uci.edu/extreme-stories-4	complete
www.ics.uci.edu/~nalini	incomplete
cml.ics.uci.edu/2014/09/fall-2014	incomplete
ngs.ics.uci.edu/extreme-stories-9	incomplete
ngs.ics.uci.edu/extreme-stories-8	incomplete
ngs.ics.uci.edu/personal/favorite-books	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=spm06.pdf	incomplete
www.ics.uci.edu/~dutt	complete
www.ics.uci.edu/~lab	incomplete
ngs.ics.uci.edu/tag/digital-cameras	incomplete
ngs.ics.uci.edu/social-search-3	incomplete
asterix.ics.uci.edu//thesis.html	incomplete
ngs.ics.uci.edu/tag/quantified-self	complete
ngs.ics.uci.edu/tag/objective	incomplete
www.ics.uci.edu/~fowlkes/software/hme	incomplete
ngs.ics.uci.edu/photos-are-about-events	incomplete
ngs.ics.uci.edu/contenxt-search	incomplete
ngs.ics.uci.edu/tag/health	complete
ngs.ics.uci.edu/tag/knowledge	incomplete
www.ics.uci.edu/~salsubai/rstartree.html	incomplete
www.ics.uci.edu/~mlevorat	complete
www.ics.uci.edu/~jesmaeln	complete
futurehealth.ics.uci.edu/news-events/meetings	complete
sli.ics.uci.edu/Site/Search	incomplete
www.ics.uci.edu/~yamingy	incomplete
ngs.ics.uci.edu/tag/photography	complete
www.ics.uci.edu/~perl/publication/losing_control	incomplete
flamingo.ics.uci.edu/releases/1.0	complete
ngs.ics.uci.edu/teaching	complete
www.ics.uci.edu/~chenli	complete
futurehealth.ics.uci.edu/resources/videos	complete
isg.ics.uci.edu/students	incomplete
www.ics.uci.edu/~flamingo/release/index.html	complete
grape.ics.uci.edu/wiki/public/wiki/cs222-2017-fall-project1	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222-2017-fall-project2	incomplete
ngs.ics.uci.edu/tag/situation-awareness	complete
ngs.ics.uci.edu/entrepreneurship	complete
flamingo.ics.uci.edu/releases/4.0	complete
ngs.ics.uci.edu/blog	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2018-spring-project1/gitignore	complete
isg.ics.uci.edu/ournews	complete
www.ics.uci.edu/grad/courses/details.php?id=99	complete
ngs.ics.uci.edu/honored-surprised-and-started-thinking	incomplete
www.ics.uci.edu/community/news/view_news?id=1466	incomplete
ngs.ics.uci.edu/tag/lifelogs	complete
ngs.ics.uci.edu/tag/prediction-machines	complete
ngs.ics.uci.edu/lifelog-made-easy	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=tr2551.ps	incomplete
www.ics.uci.edu/~icetindi	incomplete
cloudberry.ics.uci.edu/prof-li-give-talks-about-cloudberry-at-salesforce-and-huawei	incomplete
www.ics.uci.edu/~amirr1	complete
ngs.ics.uci.edu/tag/journalism	complete
www.ics.uci.edu/community/news/press/view_press?id=138	incomplete
ngs.ics.uci.edu/building-on-the-disruption-in-learning-and-education	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=uai10.pdf	incomplete
ngs.ics.uci.edu/tag/should	complete
cml.ics.uci.edu/2016/04/spring-2016	complete
cml.ics.uci.edu/aiml/page/9	complete
isg.ics.uci.edu/event/prof-jeff-ullman-visit	complete
netreg.ics.uci.edu	complete
cml.ics.uci.edu/aiml/page/2	complete
cml.ics.uci.edu/aiml/page/3	complete
www.ics.uci.edu/~fielding/pubs/dissertation/rest_arch_style.htm	complete
cml.ics.uci.edu/aiml/page/6	complete
asterixdb.ics.uci.edu/documentation/index.html	complete
cml.ics.uci.edu/aiml/page/4	complete
cml.ics.uci.edu/tag/news	complete
www.ics.uci.edu/~lopes/teaching/inf212W14/index.html	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-winter	complete
cml.ics.uci.edu/2014/02/2014_asterixdb	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall	complete
isg.ics.uci.edu/visitors	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2019-winter	complete
cml.ics.uci.edu/2014/06/center-member-smyth-to-head-new-data-science-initiative	incomplete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-winter-project1-git	complete
ngs.ics.uci.edu/tag/signal-to-noise-ratio	complete
www.ics.uci.edu/community/news/articles/view_article?id=344	complete
ngs.ics.uci.edu/tag/challenge-for-machine-learning	complete
ngs.ics.uci.edu/tag/lifelog	complete
psearch.ics.uci.edu	complete
www.ics.uci.edu/community/news/notes	complete
ngs.ics.uci.edu/research/projects	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips99.pdf	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=uai08.pdf	incomplete
ngs.ics.uci.edu/tag/mega-storiy	complete
mswe.ics.uci.edu/faq	complete
ngs.ics.uci.edu/photos-4-a-disruptive-change-in-communication	complete
ngs.ics.uci.edu/personal	complete
cloudberry.ics.uci.edu/jianfeng-has-successfully-defended-his-ph-d-thesis	complete
isg.ics.uci.edu/tag/talk	complete
www.ics.uci.edu/~smyth/courses/cs175	complete
cml.ics.uci.edu/2013/03/2013_fowlkescareer	complete
ngs.ics.uci.edu/models-and-descriptions	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall-project4	complete
ngs.ics.uci.edu/tag/health-state	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-spring-project4	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-spring-project3	complete
